contigName	contigLen	totalAvgDepth	barcode01_long.sorted	barcode01_long.sorted-var
contig_1	5235	7.86588	7.86588	3.01384
contig_10	1912	0	0	0
contig_11	1284	0	0	0
contig_12	927	0	0	0
contig_13	1776	1.8444	1.8444	0.131467
contig_14	6881	7.38315	7.38315	5.46952
contig_15	6121	4.15324	4.15324	5.93945
contig_16	10593	0.586326	0.586326	0.505731
contig_18	2650	0.9864	0.9864	0.01342
contig_19	4093	10.3883	10.3883	0.997663
contig_2	4761	0	0	0
contig_4	3057	4.68043	4.68043	2.73778
contig_5	1876	3.50058	3.50058	0.346373
contig_6	5387	0.02616	0.02616	0.0254809
contig_7	948	0	0	0
contig_8	7114	1.31304	1.31304	4.64493
contig_9	3618	0.247405	0.247405	0.561763
