contigName	contigLen	totalAvgDepth	barcode21_long.sorted	barcode21_long.sorted-var
contig_1	4321	0.652601	0.652601	0.852179
contig_10	2550	17.1792	17.1792	2.17465
contig_11	6118	2.57155	2.57155	0.255993
contig_12	3306	5.94582	5.94582	0.0721817
contig_2	4370	17.2626	17.2626	0.608456
contig_3	45158	0.673258	0.673258	6.36879
contig_6	1801	2.57359	2.57359	0.747793
contig_8	14766	0.507458	0.507458	0.997371
contig_9	16575	0.4607	0.4607	0.637167
