sample,long_reads
barcode14,/home/surj/Workspace/metagenomics-pipeline/Meta_NPI/1_basecalled_fastq/barcode14/PBG11387_pass_barcode14_877e2cf7_59b28c65_0.fastq
barcode16,/home/surj/Workspace/metagenomics-pipeline/Meta_NPI/1_basecalled_fastq/barcode16/PBG11387_pass_barcode16_877e2cf7_59b28c65_0.fastq
